,Plot,height_95p,canopy_cover_50p,canopy_cover_75p,plot_volume2,VCI,CAP,LPI,NDVI705,GNDVI,EVI,VOG2,MCARI2,MTVI,PBI,EVI2,GDD,Datt3,DCNI,LAI,PREC,date,hybrid_or_inbred,pedigree,nitrogen_treatment
45,410,1.212,69.4,37.57,0.580021516,0.78548824,90.32242577,0.000552143,0.713925,0.746115,0.534595,-0.39768,0.87936,0.5562,9.70922,0.61493,1012,7.13061,40.05547,2.296,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
46,411,1.054,57.83,25.97,0.193490036,0.76098806,88.30019101,0.000625676,0.640385,0.676295,0.47769,-0.24319,0.772825,0.513985,6.689065,0.557575,1012,5.25098,31.07747,1.885,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
47,412,1.085,60.08,28.0,0.168500462,0.828453391,88.55108331,0.000642364,0.66359,0.69802,0.49552,-0.271175,0.80907,0.522885,7.31463,0.572515,1012,5.678945,32.7171,1.756,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
48,501,1.187,64.09,31.85,0.295069464,0.758760862,87.46654761,0.00060173,0.68805,0.7301,0.52387,-0.391425,0.83661,0.572485,9.06851,0.6186,1012,6.52205,38.693765,2.667,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,135
49,502,1.206,63.2,31.97,0.329128815,0.821954858,87.99742371,0.000591534,0.680105,0.722205,0.499735,-0.384615,0.807815,0.53911,8.886145,0.589805,1012,6.38707,39.721035,3.023,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
50,503,1.1175,59.27,29.47,0.541017782,0.760069259,89.40234582,0.000524516,0.66425,0.71149,0.49081,-0.374545,0.79274,0.53812,8.615985,0.587015,1012,6.14503,39.268925,2.253,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,255
51,504,1.077,56.54,27.38,0.561775699,0.756148755,89.06472377,0.000494036,0.654195,0.70649,0.48598,-0.353875,0.77873,0.53567,8.304585,0.583195,1012,5.93707,38.0404,2.747,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
52,505,1.069,54.5,26.72,0.403770293,0.769969433,87.46641891,0.00054962,0.64557,0.70046,0.479665,-0.339035,0.766765,0.53109,8.02156,0.57833,1012,5.74338,37.23913,2.881,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,175
53,506,1.095,57.42,29.49,0.60270802,0.788281,87.58506464,0.000525003,0.641815,0.69203,0.50147,-0.33928,0.781355,0.58855,7.809905,0.615155,1012,5.66752,35.519435,2.297,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
54,507,1.076,55.35,28.13,0.507333015,0.817133187,87.36632991,0.000525101,0.621005,0.67005,0.512445,-0.25927,0.775475,0.61989,6.66404,0.626705,1012,5.080185,28.21009,2.733,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
55,508,0.96,45.63,21.04,0.536501376,0.750151831,86.41974946,0.000477208,0.594705,0.653875,0.47425,-0.238665,0.72647,0.570865,6.212515,0.587875,1012,4.683955,28.67069,2.539,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
56,509,0.994279039,46.95,23.02,0.358350639,0.854666578,88.83963146,0.000532889,0.60717,0.670705,0.472785,-0.29034,0.72856,0.557655,7.028235,0.58614,1012,5.08873,32.86095,2.791,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,95
57,510,1.035,48.52,24.36,0.254577184,0.724887205,87.42863666,0.000582369,0.624705,0.68609,0.48412,-0.30634,0.75422,0.562825,7.39561,0.59485,1012,5.3035,33.48344,2.337,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
58,511,1.112,56.85,28.24,0.430711569,0.747931746,88.95300546,0.000550276,0.647345,0.697035,0.497985,-0.345445,0.77656,0.576465,7.918985,0.606815,1012,5.74988,36.64469,2.309,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,215
59,512,1.115,58.05,29.82,0.633747571,0.771060179,88.81208039,0.000502124,0.661225,0.709125,0.513895,-0.363445,0.80067,0.58829,8.31266,0.620645,1012,6.04905,36.617935,2.207,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
60,601,1.098,57.61,29.87,0.29309496,0.661108862,88.39620106,0.000594037,0.656165,0.709025,0.503145,-0.356635,0.78908,0.563085,8.3293,0.605145,1012,5.97012,37.100765,2.831,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,215
61,602,1.101,56.31,29.2,0.280417216,0.773413092,88.40853727,0.000573778,0.639355,0.6963,0.460195,-0.338295,0.744385,0.498945,7.926615,0.552865,1012,5.674275,38.178955,3.102,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
62,603,0.982,49.02,24.66,0.436910728,0.629625975,88.63764028,0.000527536,0.605265,0.66302,0.48231,-0.26727,0.742095,0.572685,6.725385,0.59546,1012,4.98562,30.295565,2.185,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
63,604,0.932,45.15,22.2,0.526873029,0.889536548,88.60463908,0.000474787,0.58563,0.648265,0.466715,-0.2447,0.71877,0.56408,6.27108,0.58369,1012,4.64976,28.748605,2.795,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
64,605,0.942,43.52,20.56,0.312425056,0.689911047,88.00809721,0.000525285,0.59612,0.66081,0.46059,-0.276495,0.71642,0.546845,6.739575,0.576045,1012,4.890765,32.332645,1.926,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,95
65,606,0.986,45.79,23.59,0.29573661,0.706652075,88.02841334,0.000544088,0.605035,0.660535,0.482115,-0.284675,0.7503,0.593285,6.71008,0.607755,1012,4.94904,31.925865,2.321,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
66,607,1.13,59.03,30.76,0.547629324,0.785339594,87.91418391,0.000508297,0.662745,0.70852,0.542025,-0.358305,0.81776,0.636765,8.345135,0.655355,1012,6.117975,34.68369,3.116,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,255
