,param_config,rmse_dict,r_2_dict,stratification_dict,average_r_2,average_rmse
76,"('linear', 0.2, 1.0)","{'fold_0': 0.5820456629511822, 'fold_1': 0.5874741006348868, 'fold_2': 0.5795857051896676, 'fold_3': 0.6881178532054768, 'fold_4': 0.5489969222135367, 'fold_5': 0.7160814398225337, 'fold_6': 0.5665288284044754, 'fold_7': 0.6212311421283124, 'fold_8': 0.511536304408208, 'fold_9': 0.5488876659537227}","{'fold_0': 0.6010425142271263, 'fold_1': 0.6954080421857964, 'fold_2': 0.48923798487855474, 'fold_3': 0.6908491954941186, 'fold_4': 0.5798900452478148, 'fold_5': 0.3981504274931805, 'fold_6': 0.7249294279299681, 'fold_7': 0.6801801170273567, 'fold_8': 0.7324542880964211, 'fold_9': 0.4413782369849888}",{},0.6034,0.595
77,"('linear', 0.5, 0.05)","{'fold_0': 0.5181433501894007, 'fold_1': 0.647385766769384, 'fold_2': 0.5656973738078933, 'fold_3': 0.680262885082092, 'fold_4': 0.5422636288813094, 'fold_5': 0.591293408010593, 'fold_6': 0.5915212496715522, 'fold_7': 0.618466898001411, 'fold_8': 0.5584311149085284, 'fold_9': 0.6466455174557366}","{'fold_0': 0.6838360411385104, 'fold_1': 0.630114526114125, 'fold_2': 0.5134229895327524, 'fold_3': 0.697866916664631, 'fold_4': 0.5901319125250343, 'fold_5': 0.5896360548968044, 'fold_6': 0.7001246253468375, 'fold_7': 0.6830199404237076, 'fold_8': 0.681151565867293, 'fold_9': 0.2246756027978173}",{},0.5994,0.596
78,"('linear', 0.5, 0.1)","{'fold_0': 0.5310346466177516, 'fold_1': 0.6496461379000004, 'fold_2': 0.57588361968655, 'fold_3': 0.68011741805531, 'fold_4': 0.5528513917316982, 'fold_5': 0.5959543725166901, 'fold_6': 0.5845738289824507, 'fold_7': 0.6104651604842528, 'fold_8': 0.5537552147840896, 'fold_9': 0.6435154233250944}","{'fold_0': 0.6679081502386905, 'fold_1': 0.6275270795279739, 'fold_2': 0.49574209859861684, 'fold_3': 0.6979961187808263, 'fold_4': 0.5739702105475569, 'fold_5': 0.5831410380217048, 'fold_6': 0.707127335200334, 'fold_7': 0.6911690695102254, 'fold_8': 0.6864688253007393, 'fold_9': 0.2321633676147563}",{},0.5963,0.598
79,"('linear', 0.5, 0.15)","{'fold_0': 0.5283131432970777, 'fold_1': 0.6430330537542294, 'fold_2': 0.5733762879200454, 'fold_3': 0.6687307044623259, 'fold_4': 0.5411412536398688, 'fold_5': 0.5910529397252026, 'fold_6': 0.5839948902180568, 'fold_7': 0.5964505450065735, 'fold_8': 0.541470698170806, 'fold_9': 0.6440606565422491}","{'fold_0': 0.6713033078241459, 'fold_1': 0.6350716720536053, 'fold_2': 0.5001235027965021, 'fold_3': 0.7080239306674199, 'fold_4': 0.591826843511826, 'fold_5': 0.5899697621472005, 'fold_6': 0.7077071469190122, 'fold_7': 0.7051861364676226, 'fold_8': 0.7002252905086572, 'fold_9': 0.23086168197499768}",{},0.604,0.591
80,"('linear', 0.5, 0.2)","{'fold_0': 0.5410031492490788, 'fold_1': 0.6346927129232968, 'fold_2': 0.560688451429406, 'fold_3': 0.6530959341457128, 'fold_4': 0.5390453833711063, 'fold_5': 0.5872022542601749, 'fold_6': 0.5643820543232914, 'fold_7': 0.5989173930974105, 'fold_8': 0.5332078107197885, 'fold_9': 0.6344822246690858}","{'fold_0': 0.6553231702787141, 'fold_1': 0.6444767507481146, 'fold_2': 0.5220015563601423, 'fold_3': 0.7215169994737434, 'fold_4': 0.5949824755042752, 'fold_5': 0.5952950186359394, 'fold_6': 0.7270101536168212, 'fold_7': 0.7027424637950664, 'fold_8': 0.7093046554520905, 'fold_9': 0.2535687269684984}",{},0.6126,0.585
81,"('linear', 0.5, 0.25)","{'fold_0': 0.5329534126623597, 'fold_1': 0.6344444177427048, 'fold_2': 0.5703714061232277, 'fold_3': 0.6521828329950924, 'fold_4': 0.5311462961513675, 'fold_5': 0.5873776493582824, 'fold_6': 0.5584059961189175, 'fold_7': 0.5886350933335474, 'fold_8': 0.5294629384278753, 'fold_9': 0.6320195570605852}","{'fold_0': 0.6655039464246686, 'fold_1': 0.6447548615277457, 'fold_2': 0.50534915961183, 'fold_3': 0.7222951558724735, 'fold_4': 0.6067656316395664, 'fold_5': 0.5950532148260482, 'fold_6': 0.732760747561046, 'fold_7': 0.7128615686678138, 'fold_8': 0.7133735909925971, 'fold_9': 0.2593518510511691}",{},0.6158,0.582
82,"('linear', 0.5, 0.5)","{'fold_0': 0.534697087519549, 'fold_1': 0.6158690172571263, 'fold_2': 0.5805108855339891, 'fold_3': 0.6324115212311648, 'fold_4': 0.4941588858409098, 'fold_5': 0.6053396369980053, 'fold_6': 0.5563744753100202, 'fold_7': 0.5722122580099414, 'fold_8': 0.5167294451573132, 'fold_9': 0.6404021399621008}","{'fold_0': 0.6633116104191015, 'fold_1': 0.6652522280040132, 'fold_2': 0.48760604630198046, 'fold_3': 0.7388775114214436, 'fold_4': 0.659626005512552, 'fold_5': 0.5699080186329499, 'fold_6': 0.7347016813897702, 'fold_7': 0.7286603022534734, 'fold_8': 0.726994440313049, 'fold_9': 0.23957487759964324}",{},0.6215,0.575
83,"('linear', 0.5, 1.0)","{'fold_0': 0.5748571553087412, 'fold_1': 0.5839186264749623, 'fold_2': 0.5469964226019198, 'fold_3': 0.6850838923440367, 'fold_4': 0.5416807392667273, 'fold_5': 0.6935464030651901, 'fold_6': 0.5618781225708589, 'fold_7': 0.6106968197030039, 'fold_8': 0.5124309715295612, 'fold_9': 0.5637546839403689}","{'fold_0': 0.6108362440968975, 'fold_1': 0.6990837504285843, 'fold_2': 0.5450619804941061, 'fold_3': 0.6935693216738963, 'fold_4': 0.5910125891387537, 'fold_5': 0.435434716161503, 'fold_6': 0.7294270682874924, 'fold_7': 0.690934634815572, 'fold_8': 0.73151760512143, 'fold_9': 0.4107070657615567}",{},0.6138,0.587
84,"('linear', 1.0, 0.05)","{'fold_0': 0.5220884394512361, 'fold_1': 0.6524922933542642, 'fold_2': 0.5638192069582835, 'fold_3': 0.6806231063268693, 'fold_4': 0.5401914962229195, 'fold_5': 0.5887906281071409, 'fold_6': 0.5927201078571016, 'fold_7': 0.6171525350940743, 'fold_8': 0.5630108901086887, 'fold_9': 0.6573895161783803}","{'fold_0': 0.6790032340568565, 'fold_1': 0.6242562586875624, 'fold_2': 0.5166485860533108, 'fold_3': 0.6975468534257862, 'fold_4': 0.5932583562053431, 'fold_5': 0.5931026148541169, 'fold_6': 0.6989078563400307, 'fold_7': 0.6843657978247638, 'fold_8': 0.6759002752748546, 'fold_9': 0.19869757874772476}",{},0.5962,0.598
85,"('linear', 1.0, 0.1)","{'fold_0': 0.5221084097094087, 'fold_1': 0.6530157948752394, 'fold_2': 0.5728060810591566, 'fold_3': 0.6817890148524874, 'fold_4': 0.5451144491240942, 'fold_5': 0.5966615571355788, 'fold_6': 0.5839640717870936, 'fold_7': 0.6108421540575376, 'fold_8': 0.5592826034981943, 'fold_9': 0.6629405517849893}","{'fold_0': 0.6789786768730346, 'fold_1': 0.6236530904040372, 'fold_2': 0.5011172351345239, 'fold_3': 0.6965097604175823, 'fold_4': 0.5858110190437147, 'fold_5': 0.5821511261472534, 'fold_6': 0.7077379957143715, 'fold_7': 0.690787513826217, 'fold_8': 0.6801784725603488, 'fold_9': 0.18510795495699672}",{},0.5932,0.599
86,"('linear', 1.0, 0.15)","{'fold_0': 0.531293167706197, 'fold_1': 0.6473258307344608, 'fold_2': 0.5800081592540632, 'fold_3': 0.6701734695034162, 'fold_4': 0.5355617053801489, 'fold_5': 0.5914355418521998, 'fold_6': 0.5895063819929558, 'fold_7': 0.5979325811498065, 'fold_8': 0.547919540594391, 'fold_9': 0.6512091263689438}","{'fold_0': 0.6675847301204193, 'fold_1': 0.630183012150042, 'fold_2': 0.4884931351528502, 'fold_3': 0.7067627136106115, 'fold_4': 0.6002005570164035, 'fold_5': 0.5894387463748552, 'fold_6': 0.7021640454263116, 'fold_7': 0.703719233196384, 'fold_8': 0.693042216911232, 'fold_9': 0.21369350308862267}",{},0.5995,0.594
87,"('linear', 1.0, 0.2)","{'fold_0': 0.5412462447753218, 'fold_1': 0.642344548213454, 'fold_2': 0.5579790034485888, 'fold_3': 0.6517724064924864, 'fold_4': 0.5369406192050422, 'fold_5': 0.5798939109710208, 'fold_6': 0.5659867229010925, 'fold_7': 0.600313681142352, 'fold_8': 0.5461960042735388, 'fold_9': 0.6409866012983341}","{'fold_0': 0.655013345019932, 'fold_1': 0.6358527226166798, 'fold_2': 0.5266101146127062, 'fold_3': 0.7226445718904497, 'fold_4': 0.5981391748188591, 'fold_5': 0.6053062777650257, 'fold_6': 0.7254556003649351, 'fold_7': 0.7013548234584073, 'fold_8': 0.6949703131162694, 'fold_9': 0.2381862442285787}",{},0.6104,0.586
88,"('linear', 1.0, 0.25)","{'fold_0': 0.536374365907912, 'fold_1': 0.6399905729915065, 'fold_2': 0.575230645611134, 'fold_3': 0.652334285030129, 'fold_4': 0.5331264328845083, 'fold_5': 0.5867188602645453, 'fold_6': 0.5689980302442142, 'fold_7': 0.5925055084526928, 'fold_8': 0.5376810676881896, 'fold_9': 0.6392965749309949}","{'fold_0': 0.6611959980427571, 'fold_1': 0.6385167850991551, 'fold_2': 0.4968849707116386, 'fold_3': 0.7221661618383171, 'fold_4': 0.6038281763340985, 'fold_5': 0.59596106319876, 'fold_6': 0.7225264260806825, 'fold_7': 0.7090731482472076, 'fold_8': 0.7044067169606865, 'fold_9': 0.24219814725006394}",{},0.6097,0.586
89,"('linear', 1.0, 0.5)","{'fold_0': 0.5292132947986578, 'fold_1': 0.6147691480428986, 'fold_2': 0.581595400641354, 'fold_3': 0.627569098415628, 'fold_4': 0.4972423954078027, 'fold_5': 0.6025722802214046, 'fold_6': 0.551950500750674, 'fold_7': 0.57522960357186, 'fold_8': 0.5194683514504793, 'fold_9': 0.6465715742603669}","{'fold_0': 0.6701822723720217, 'fold_1': 0.6664468002158872, 'fold_2': 0.48568974092950634, 'fold_3': 0.7428610708605685, 'fold_4': 0.6553649427693906, 'fold_5': 0.5738314272455047, 'fold_6': 0.7389039116238253, 'fold_7': 0.7257911422810372, 'fold_8': 0.7240926574615061, 'fold_9': 0.2248529076240966}",{},0.6208,0.575
90,"('linear', 1.0, 1.0)","{'fold_0': 0.579356311701954, 'fold_1': 0.5830148253754639, 'fold_2': 0.5331885028284257, 'fold_3': 0.6886269416459029, 'fold_4': 0.5428170506197492, 'fold_5': 0.7093178645447403, 'fold_6': 0.565234991900061, 'fold_7': 0.6315744045067172, 'fold_8': 0.515457850899846, 'fold_9': 0.5670597700794062}","{'fold_0': 0.6047207756422694, 'fold_1': 0.7000145580643229, 'fold_2': 0.5677402351560845, 'fold_3': 0.6903915898119124, 'fold_4': 0.5892948818038202, 'fold_5': 0.4094659859412587, 'fold_6': 0.7261844036071466, 'fold_7': 0.669441700840407, 'fold_8': 0.7283364391487281, 'fold_9': 0.4037771965024053}",{},0.6089,0.592
91,"('linear', 1.5, 0.05)","{'fold_0': 0.5206693163082349, 'fold_1': 0.6555200662360755, 'fold_2': 0.5656560504228807, 'fold_3': 0.6837268893248545, 'fold_4': 0.5400794205313202, 'fold_5': 0.5897221780998384, 'fold_6': 0.5941602806285959, 'fold_7': 0.6165344916726031, 'fold_8': 0.567002724950522, 'fold_9': 0.6546932781022805}","{'fold_0': 0.6807459075065156, 'fold_1': 0.6207610257454159, 'fold_2': 0.5134940744473326, 'fold_3': 0.6947820651882985, 'fold_4': 0.5934271153302451, 'fold_5': 0.591814057972818, 'fold_6': 0.6974429102208517, 'fold_7': 0.684997660946236, 'fold_8': 0.6712881476952521, 'fold_9': 0.20525707344576227}",{},0.5954,0.599
92,"('linear', 1.5, 0.1)","{'fold_0': 0.5208681415223979, 'fold_1': 0.6532133004860595, 'fold_2': 0.5733437242377414, 'fold_3': 0.6793539323422125, 'fold_4': 0.5437296501276648, 'fold_5': 0.5944924877214656, 'fold_6': 0.5827220862105749, 'fold_7': 0.6096892482765158, 'fold_8': 0.5621006560110113, 'fold_9': 0.6680461500408075}","{'fold_0': 0.6805020372383841, 'fold_1': 0.6234254025975602, 'fold_2': 0.5001802800213615, 'fold_3': 0.6986737847919348, 'fold_4': 0.5879127426157849, 'fold_5': 0.585183651929923, 'fold_6': 0.7089798501694557, 'fold_7': 0.6919536299415585, 'fold_8': 0.6769473887616422, 'fold_9': 0.17250793415155175}",{},0.5926,0.599
