,param_config,rmse_dict,r_2_dict,stratification_dict,average_r_2,average_rmse
20,"('rbf', 0.2, 1.0)","{'fold_0': 0.5639250202373172, 'fold_1': 0.6667029157550247, 'fold_2': 0.68095806918115, 'fold_3': 0.7909735666560112, 'fold_4': 0.7009455902209347, 'fold_5': 0.7153402255249154, 'fold_6': 0.5330963955059959, 'fold_7': 0.7515258617615425, 'fold_8': 0.5660657251256705, 'fold_9': 0.8414706008068463}","{'fold_0': 0.794076946331838, 'fold_1': 0.7955173258660737, 'fold_2': 0.6672681944205219, 'fold_3': 0.607455170341596, 'fold_4': 0.7819433245170814, 'fold_5': 0.7758833441481101, 'fold_6': 0.8237000559965538, 'fold_7': 0.7176013732433998, 'fold_8': 0.7805316088785298, 'fold_9': 0.695513265858405}",{},0.7439,0.681
21,"('rbf', 0.5, 0.05)","{'fold_0': 0.4137841739881857, 'fold_1': 0.4159445071673171, 'fold_2': 0.4056944896792959, 'fold_3': 0.5219836218309825, 'fold_4': 0.464459723650727, 'fold_5': 0.46435076029239997, 'fold_6': 0.3999656000003864, 'fold_7': 0.5239996086061994, 'fold_8': 0.3769912811078887, 'fold_9': 0.6104573230083716}","{'fold_0': 0.8891310346615627, 'fold_1': 0.9204092505595739, 'fold_2': 0.8818994844105289, 'fold_3': 0.8290460759141832, 'fold_4': 0.9042592358072827, 'fold_5': 0.9055632221059177, 'fold_6': 0.9007601811190055, 'fold_7': 0.8627107143914972, 'fold_8': 0.9026578636705531, 'fold_9': 0.8397488712147441}",{},0.8836,0.46
22,"('rbf', 0.5, 0.1)","{'fold_0': 0.40998995361090557, 'fold_1': 0.41812900634638367, 'fold_2': 0.4123670798195024, 'fold_3': 0.5209049962796012, 'fold_4': 0.46323284521375035, 'fold_5': 0.4654285512612665, 'fold_6': 0.39521114025282666, 'fold_7': 0.5228452232462545, 'fold_8': 0.3798596357228748, 'fold_9': 0.6103250414825393}","{'fold_0': 0.8911549527984265, 'fold_1': 0.9195710498520903, 'fold_2': 0.8779826607812204, 'fold_3': 0.8297518633986113, 'fold_4': 0.9047643695522678, 'fold_5': 0.9051243244537438, 'fold_6': 0.9031055195774768, 'fold_7': 0.8633149521263743, 'fold_8': 0.9011709647555283, 'fold_9': 0.8398183141267406}",{},0.8836,0.46
23,"('rbf', 0.5, 0.15)","{'fold_0': 0.41102734212525327, 'fold_1': 0.4269904720917922, 'fold_2': 0.41414226448671876, 'fold_3': 0.5254987981680156, 'fold_4': 0.47057644267611576, 'fold_5': 0.4680837476788582, 'fold_6': 0.3918149870702336, 'fold_7': 0.5241435638236841, 'fold_8': 0.3797117127400001, 'fold_9': 0.607474271104356}","{'fold_0': 0.8906034395065765, 'fold_1': 0.9161258415775393, 'fold_2': 0.8769298631920945, 'fold_3': 0.8267358248438599, 'fold_4': 0.9017209079765094, 'fold_5': 0.9040387351976805, 'fold_6': 0.9047636439502587, 'fold_7': 0.8626352707331524, 'fold_8': 0.9012479207564766, 'fold_9': 0.8413112063083564}",{},0.8826,0.462
24,"('rbf', 0.5, 0.2)","{'fold_0': 0.4224508480747732, 'fold_1': 0.43130766152413547, 'fold_2': 0.4147329959919568, 'fold_3': 0.5268680337853839, 'fold_4': 0.4827847464623413, 'fold_5': 0.47560682195464754, 'fold_6': 0.39810191135742706, 'fold_7': 0.5380412049773602, 'fold_8': 0.38862355865437553, 'fold_9': 0.6109728573849128}","{'fold_0': 0.8844381156497381, 'fold_1': 0.9144212078362823, 'fold_2': 0.8765785189128018, 'fold_3': 0.8258317369359683, 'fold_4': 0.8965553936980358, 'fold_5': 0.9009293551764945, 'fold_6': 0.90168286656923, 'fold_7': 0.8552542592116509, 'fold_8': 0.8965580950756632, 'fold_9': 0.8394780911060065}",{},0.8792,0.469
25,"('rbf', 0.5, 0.25)","{'fold_0': 0.4315390180674866, 'fold_1': 0.4359489396979096, 'fold_2': 0.4247810913291065, 'fold_3': 0.5314942131138632, 'fold_4': 0.49513207782979657, 'fold_5': 0.4845486030724967, 'fold_6': 0.39820181969379537, 'fold_7': 0.5479323788990633, 'fold_8': 0.3926019238928741, 'fold_9': 0.6176140458683683}","{'fold_0': 0.8794124753540585, 'fold_1': 0.9125694805772139, 'fold_2': 0.870525593660269, 'fold_3': 0.8227597304769743, 'fold_4': 0.8911964919797469, 'fold_5': 0.8971691251436671, 'fold_6': 0.9016335127052156, 'fold_7': 0.8498834240984164, 'fold_8': 0.8944293712867882, 'fold_9': 0.8359694239695773}",{},0.8756,0.476
26,"('rbf', 0.5, 0.5)","{'fold_0': 0.431214001106784, 'fold_1': 0.47204456303384473, 'fold_2': 0.469943538748561, 'fold_3': 0.5809693100600182, 'fold_4': 0.507410766760852, 'fold_5': 0.5267100695681899, 'fold_6': 0.4208071980046799, 'fold_7': 0.567526898429893, 'fold_8': 0.4255871620409079, 'fold_9': 0.6274606288782342}","{'fold_0': 0.8795940498113668, 'fold_1': 0.8974919890178411, 'fold_2': 0.8415307722950237, 'fold_3': 0.7882264564580289, 'fold_4': 0.8857331836719391, 'fold_5': 0.8784955786804105, 'fold_6': 0.890148244394843, 'fold_7': 0.8389548611374136, 'fold_8': 0.8759447070194488, 'fold_9': 0.8306974722108387}",{},0.8607,0.503
27,"('rbf', 0.5, 1.0)","{'fold_0': 0.5491657093879118, 'fold_1': 0.6121957328035186, 'fold_2': 0.622516396817167, 'fold_3': 0.7488474040737413, 'fold_4': 0.6454357076552647, 'fold_5': 0.6557666977817764, 'fold_6': 0.4880470856405398, 'fold_7': 0.693972122042335, 'fold_8': 0.5251520027244762, 'fold_9': 0.7593103712308401}","{'fold_0': 0.8047149194269742, 'fold_1': 0.8275860493466523, 'fold_2': 0.7219293412151193, 'fold_3': 0.6481545182245924, 'fold_4': 0.8151128416809955, 'fold_5': 0.8116578366081757, 'fold_6': 0.8522375342517499, 'fold_7': 0.7591987322733172, 'fold_8': 0.8111102842251157, 'fold_9': 0.7520699629852603}",{},0.7804,0.63
28,"('rbf', 1.0, 0.05)","{'fold_0': 0.3873407982306258, 'fold_1': 0.39269858683510217, 'fold_2': 0.3698262307058037, 'fold_3': 0.5155532944949658, 'fold_4': 0.4362110297945963, 'fold_5': 0.4225853619180193, 'fold_6': 0.3830714717258717, 'fold_7': 0.4752599232742794, 'fold_8': 0.360793539108253, 'fold_9': 0.5614155536088141}","{'fold_0': 0.902848674878124, 'fold_1': 0.9290568473980532, 'fold_2': 0.9018593346418363, 'fold_3': 0.8332321022913175, 'fold_4': 0.9155510884846811, 'fold_5': 0.9217872173347389, 'fold_6': 0.9089666966010369, 'fold_7': 0.8870627763826523, 'fold_8': 0.9108429347206253, 'fold_9': 0.8644625339121632}",{},0.8976,0.43
29,"('rbf', 1.0, 0.1)","{'fold_0': 0.38759041660914695, 'fold_1': 0.39841501872768803, 'fold_2': 0.36806792488063655, 'fold_3': 0.5223673048019603, 'fold_4': 0.4279321617883452, 'fold_5': 0.426216795840841, 'fold_6': 0.38335923211338907, 'fold_7': 0.47658374588974534, 'fold_8': 0.35979626165530315, 'fold_9': 0.566661221911197}","{'fold_0': 0.9027234178927899, 'fold_1': 0.9269764050078677, 'fold_2': 0.9027903183072936, 'fold_3': 0.8287946648988915, 'fold_4': 0.9187261887322513, 'fold_5': 0.9204372182934636, 'fold_6': 0.9088298781761083, 'fold_7': 0.8864327334537787, 'fold_8': 0.9113351355851584, 'fold_9': 0.8619178727274873}",{},0.8969,0.432
